iter	Passed	Remaining
225	11034	13377
226	11081	13326
227	11129	13276
228	11177	13227
229	11223	13175
230	11273	13128
231	11319	13076
232	11366	13024
233	11415	12977
234	11460	12923
235	11508	12873
236	11558	12826
237	11609	12780
238	11657	12730
239	11706	12682
240	11757	12635
241	11808	12589
242	11857	12541
243	11905	12490
244	11910	12396
245	11963	12352
246	12013	12305
247	12057	12252
248	12106	12203
249	12152	12152
250	12200	12103
251	12244	12050
252	12291	12000
253	12340	11951
254	12388	11902
255	12436	11853
256	12484	11804
257	12530	11753
258	12583	11709
259	12633	11662
260	12684	11615
261	12733	11567
262	12784	11520
263	12836	11474
264	12881	11423
265	12927	11372
266	12976	11323
267	13028	11277
268	13072	11225
269	13121	11177
270	13168	11127
271	13216	11078
272	13265	11030
273	13311	10979
274	13361	10932
275	13363	10845
276	13409	10795
277	13455	10744
278	13499	10693
279	13548	10645
280	13594	10595
281	13644	10548
282	13696	10502
283	13744	10453
284	13790	10403
285	13838	10354
286	13891	10309
287	13945	10265
288	14000	10221
289	14053	10176
290	14101	10127
291	14149	10079
292	14201	10032
293	14252	9986
294	14300	9937
295	14349	9889
296	14394	9838
297	14444	9791
298	14493	9743
299	14535	9690
300	14586	9643
301	14630	9592
302	14680	9544
303	14731	9498
304	14782	9450
305	14831	9403
306	14878	9353
307	14930	9307
308	14977	9257
309	15027	9210
310	15077	9162
311	15124	9113
312	15130	9039
313	15181	8992
314	15230	8944
315	15278	8896
316	15327	8848
317	15377	8800
318	15425	8752
319	15472	8703
320	15517	8652
321	15565	8604
322	15608	8553
323	15656	8504
324	15703	8455
325	15750	8406
326	15802	8360
327	15856	8315
328	15907	8267
329	15956	8220
330	16000	8169
331	16051	8122
332	16099	8073
333	16151	8027
334	16202	7980
335	16249	7931
336	16299	7883
337	16344	7833
338	16390	7784
339	16440	7736
340	16488	7688
341	16533	7638
342	16586	7591
343	16639	7545
344	16691	7499
345	16738	7450
346	16794	7405
347	16843	7356
348	16889	7307
349	16935	7257
350	16983	7209
351	17031	7160
352	17078	7111
353	17124	7062
354	17175	7015
355	17221	6966
356	17273	6918
357	17317	6869
358	17365	6820
359	17412	6771
360	17424	6709
361	17473	6661
362	17518	6611
363	17567	6563
364	17617	6516
365	17664	6467
366	17712	6419
367	17759	6370
368	17808	6322
369	17856	6273
370	17902	6224
371	17953	6177
372	17995	6127
373	18045	6079
374	18090	6030
375	18139	5982
376	18187	5933
377	18234	5885
378	18282	5836
379	18295	5777
380	18343	5729
381	18393	5681
382	18437	5632
383	18486	5584
384	18540	5537
385	18591	5490
386	18644	5444
387	18696	5396
388	18747	5349
389	18819	5308
390	18874	5261
391	18923	5213
392	18968	5164
393	19016	5116
394	19064	5067
395	19111	5019
396	19155	4969
397	19158	4909
398	19203	4860
399	19248	4812
